Title,Artist_name,Time_duration
Raataan Lambiyan," Kumar Sanu, S. P. Balasubrahmanyam, Anuradha Paudwal,",3:50
Dhokha," Anuradha Paudwal, Mohammed Aziz,",4:05
Har Har Shambhu Shiv Mahadeva," S. P. Balasubrahmanyam,",5:54
Thoda Thoda Pyaar," Anuradha Paudwal, Mohammed Aziz,",4:04
Baarish Aayi Hai," Anuradha Paudwal, Mohammed Aziz,",3:32
Pal Pal Dil Ke Paas - Title Track," Poornima,",4:14
Kuch Baatein," Udit Narayan, Anuradha Paudwal,",4:45
Iss Baarish Mein," Udit Narayan, Sadhana Sargam,",4:00
Baarish Ban Jaana," Anuradha Paudwal, Mohammed Aziz,",3:20
Maiyya Mainu," Sonu Nigam,",3:51
Lut Gaye (Feat. Emraan Hashmi)," Anu Malik, Kumar Sanu,",3:48
Pyaar Karte Ho Na," Anuradha Paudwal, Hariharan,",3:11
Halki Si Barsaat," Mohammed Aziz, Anand, Milind,",3:32
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")"," Sudesh Bhosle, Kavita Krishnamurti Subramaniam, Laxmikant - Pyarelal,",3:31
Tum Hi Ho," Pankaj Udhas,",4:22
Radhe Radhe," Alka Yagnik, Mohammed Aziz,",6:24
Mehabooba,,3:33
Dil Galti Kar Baitha Hai (Feat. Mouni Roy)," Laxmikant - Pyarelal, Mohammed Aziz,",4:33
"Galliyan Returns (From ""Ek Villain Returns"")"," Jatin-Lalit, Alka Yagnik, Kumar Sanu,",5:50
Fitoor," R.D. Burman, Kishore Kumar,",5:08
Tumse Pyaar Karke," Mukesh, Lata Mangeshkar,",3:54
Meri Jaan," Kishore Kumar, Lata Mangeshkar,",3:58
"Dil (From ""Ek Villain Returns"")"," Kishore Kumar,",5:09
Barsaat Ki Dhun," Lata Mangeshkar, Kishore Kumar,",4:19
Tere Naam," Kishore Kumar,",6:32
Zara Sa," R.D. Burman, Kishore Kumar, Lata Mangeshkar,",5:02
Chand Sifarish," Ost, Kishore Kumar,",4:35
Dil Ne Yeh Kaha Hain Dil Se," S. D. Burman, Kishore Kumar,",7:30
Woh Lamhein," R.D. Burman, Kishore Kumar, Poornima,",5:20
Tu Hi Meri Shab Hai," Lata Mangeshkar, Kishore Kumar,",6:28
Humko Humise Chura Lo," Kishore Kumar,",7:59
Tumse Milna," Kishore Kumar, Asha Bhosle,",4:40
Zindagi Ban Gaye Ho Tum," Mukesh,",5:36
Soni De Nakhre," S. D. Burman, Charanjit Ahuja, Lata Mangeshkar, Mohammed Rafi,",4:20
Beete Lamhein," Hemlata,",4:59
Khuda Jaane," Mohammed Rafi, Kishore Kumar, Asha Bhosle, Usha Mangeshkar,",5:33
Aashiq Banaya Aapne," S. D. Burman, Lata Mangeshkar, Manhar Udhas,",6:03
Ajab Si," R.D. Burman, Asha Bhosle, Kishore Kumar,",4:01
Agar Tum Mil Jao- Female," Kishore Kumar,",6:00
Soniye," Kishore Kumar,",4:56
Kitni Bechain Hoke," S. D. Burman, Lata Mangeshkar,",7:25
Zara Zara," Mukesh,",4:58
Haan Tu Hain," Shankar-Jaikishan, Asha Bhosle, Kishore Kumar, Suman Kalyanpur, Mohammed Rafi, Pratibha, Poornima,",5:24
Humko Tumse Pyaar Hai," Kishore Kumar,",5:50
Tujh Mein Rab Dikhta Hai," Lata Mangeshkar, Padmini Kolhapure, Poornima,",4:41
O Rey Chhori," Kishore Kumar,",5:59
Tum Se Hi," Kishore Kumar, Usha Khanna,",5:21
Tere Ishq Mein Pagal," Mohammed Rafi,",6:04
